,store_id,month,year,original_sales,forecast,timestap_columns
0,CA_1_FOODS_1,April,2016,294.0,263.06452838436616,2016-04-25
1,CA_1_FOODS_1,April,2016,259.0,244.87318886014623,2016-04-26
2,CA_1_FOODS_1,April,2016,268.0,253.34961314494893,2016-04-27
3,CA_1_FOODS_1,April,2016,328.0,280.4496518199301,2016-04-28
4,CA_1_FOODS_1,April,2016,387.0,323.585544615142,2016-04-29
5,CA_1_FOODS_1,April,2016,455.0,372.4109231964633,2016-04-30
6,CA_1_FOODS_1,May,2016,403.0,339.0563768979806,2016-05-01
7,CA_1_FOODS_1,May,2016,262.0,266.57742401757463,2016-05-02
8,CA_1_FOODS_1,May,2016,332.0,260.86527752886013,2016-05-03
9,CA_1_FOODS_1,May,2016,272.0,260.1121715749058,2016-05-04
10,CA_1_FOODS_1,May,2016,311.0,274.9248390018493,2016-05-05
11,CA_1_FOODS_1,May,2016,424.0,332.2391060366351,2016-05-06
12,CA_1_FOODS_1,May,2016,474.0,398.26187646366384,2016-05-07
13,CA_1_FOODS_1,May,2016,320.0,337.13265666953663,2016-05-08
14,CA_1_FOODS_1,May,2016,298.0,264.3687972458897,2016-05-09
15,CA_1_FOODS_1,May,2016,326.0,253.08665741414785,2016-05-10
16,CA_1_FOODS_1,May,2016,279.0,253.35915384096717,2016-05-11
17,CA_1_FOODS_1,May,2016,256.0,276.6453676542028,2016-05-12
18,CA_1_FOODS_1,May,2016,412.0,325.5970196310104,2016-05-13
19,CA_1_FOODS_1,May,2016,435.0,376.8571665895032,2016-05-14
20,CA_1_FOODS_1,May,2016,415.0,333.4490217652386,2016-05-15
21,CA_1_FOODS_1,May,2016,277.0,268.8800270179837,2016-05-16
22,CA_1_FOODS_1,May,2016,302.0,256.7934322641565,2016-05-17
23,CA_1_FOODS_1,May,2016,397.0,260.89429088447645,2016-05-18
24,CA_1_FOODS_1,May,2016,330.0,277.5420976763087,2016-05-19
25,CA_1_FOODS_1,May,2016,310.0,329.9500262078094,2016-05-20
26,CA_1_FOODS_1,May,2016,427.0,393.70078225942433,2016-05-21
27,CA_1_FOODS_1,May,2016,334.0,336.56209916889327,2016-05-22
28,CA_1_FOODS_2,April,2016,458.0,570.7244039780007,2016-04-25
29,CA_1_FOODS_2,April,2016,500.0,489.6855703921461,2016-04-26
30,CA_1_FOODS_2,April,2016,412.0,451.1721981847299,2016-04-27
31,CA_1_FOODS_2,April,2016,400.0,422.4334919950145,2016-04-28
32,CA_1_FOODS_2,April,2016,463.0,517.170573408835,2016-04-29
33,CA_1_FOODS_2,April,2016,653.0,654.2670755023837,2016-04-30
34,CA_1_FOODS_2,May,2016,720.0,685.8778929395007,2016-05-01
35,CA_1_FOODS_2,May,2016,620.0,543.6955033312704,2016-05-02
36,CA_1_FOODS_2,May,2016,525.0,467.2366453214098,2016-05-03
37,CA_1_FOODS_2,May,2016,531.0,436.1990760107452,2016-05-04
38,CA_1_FOODS_2,May,2016,450.0,411.01256911762937,2016-05-05
39,CA_1_FOODS_2,May,2016,560.0,507.3254758123567,2016-05-06
40,CA_1_FOODS_2,May,2016,683.0,641.4039988557104,2016-05-07
41,CA_1_FOODS_2,May,2016,539.0,694.1185324152397,2016-05-08
42,CA_1_FOODS_2,May,2016,617.0,547.8355065846615,2016-05-09
43,CA_1_FOODS_2,May,2016,627.0,467.7421133298857,2016-05-10
